g420,cdkn1c
g421,cdkn2a
g422,cdkn2b
g423,cdkn2d
g424,cdo1
g425,cdx2
g426,ceacam1
g427,ceacam5
g428,cel
g429,cela1
g430,ces1
g431,ces1p1
g432,cetp
g433,cfb
g434,cfd
g435,cfl1
g436,cflar
g437,cftr
g438,cga
g439,cgb5
g440,chat
g441,chd1
g442,chek1
g443,chek2
g444,chit1
g445,chka
g446,chrfam7a
g447,chrm1
g448,chrm2
g449,chrm3
g450,chrm4
g451,chrm5
g452,chrna1
g453,chrna10
g454,chrna2
g455,chrna3
g456,chrna4
g457,chrna6
g458,chrna7
g459,chrna9
g460,chrnb2
g461,chrnb4
g462,chst11
g463,chuk
g464,cic
g465,cip2a
g466,cish
g467,ckb
g468,ckm
g469,ckmt1a
g470,ckmt2
g471,clc
g472,clcn2
g473,clcnka
g474,clec3b
g475,clk1
g476,clk3
g477,clu
g478,cmpk1
g479,cnr1
g480,cnr2
g481,coil
g482,col18a1
g483,col1a1
g484,col1a2
g485,col2a1
g486,col3a1
g487,comt
g488,comtd1
g489,cort
g490,cox4i1
g491,cox5a
g492,cox5b
g493,cox6a2
g494,cox6b1
g495,cox6c
g496,cox7a1
g497,cox7b
g498,cox7c
g499,cox8a
g500,cp
g501,cpa1
g502,cpb1
g503,cpb2
g504,cpd
g505,cpe
g506,cpq
g507,cps1
g508,cpt1a
g509,cpt2
g510,cr1
g511,cr2
g512,crabp2
g513,crat
g514,crbn
g515,creb1
g516,crebbp
g517,crh
g518,crmp1
g519,crot
g520,crp
g521,cryz
g522,cs
g523,csad
g524,csf1
g525,csf1r
g526,csf2
g527,csf2ra
g528,csf2rb
g529,csf3r
g530,csk
g531,csnk1a1
g532,csnk1g1
g533,csnk1g2
g534,csnk1g3
g535,csnk2a1
g536,csnk2a2
g537,cspg4
g538,cst3
g539,ctag1b
g540,ctbp1
g541,ctdsp1
g542,ctgf
g543,cth
g544,ctla4
g545,ctnnb1
g546,ctps1
g547,ctrb1
g548,ctsb
g549,ctsc
g550,ctsd
g551,ctsf
g552,ctsg
g553,ctsh
g554,ctsk
g555,ctsl
g556,ctss
g557,cubn
g558,cx3cl1
g559,cxcl10
g560,cxcl12
g561,cxcl2
g562,cxcl8
g563,cxcr1
g564,cxcr2
g565,cxcr4
g566,cyb5r1
g567,cyb5r3
g568,cyc1
g569,cycs
g570,cyp11a1
g571,cyp11b1
g572,cyp11b2
g573,cyp17a1
g574,cyp19a1
g575,cyp1a1
g576,cyp1a2
g577,cyp1b1
g578,cyp20a1
g579,cyp21a2
g580,cyp27a1
g581,cyp27b1
g582,cyp2a6
g583,cyp2b6
g584,cyp2c18
g585,cyp2c19
g586,cyp2c8
g587,cyp2c9
g588,cyp2d6
g589,cyp2e1
g590,cyp3a4
g591,cyp3a43
g592,cyp3a5
g593,cyp3a7
g594,cyp4a11
g595,cyp4b1
g596,cyp51a1
g597,cyp7b1
g598,cyr61
g599,cysltr1
g600,cyth2
g601,cyth3
g602,dao
g603,dapk1
g604,dapk3
g605,dapp1
g606,dars
g607,dars2
g608,dbh
g609,dbi
g610,dbp
g611,dck
g612,dcn
g613,dcps
g614,dct
g615,dcxr
g616,ddah1
g617,ddah2
g618,ddc
g619,ddit3
g620,ddr2
g621,ddx43
g622,decr1
g623,defa1
g624,defa5
g625,des
g626,dffb
g627,dgka
g628,dgkd
g629,dgkg
g630,dhcr7
g631,dhfr
g632,dhfr2
g633,dhodh
g634,dhrs3
g635,dhrs4
g636,dhrs4l1
g637,dhrs4l2
g638,diablo
g639,dkk1
g640,dlat
g641,dld
g642,dlg4
g643,dmpk
g644,dnmt1
g645,dnmt3a
g646,dnpep
g647,dntt
g648,dock10
g649,dpep1
g650,dph5
g651,dpp4
g652,dpyd
g653,dpys
g654,dpysl3
g655,drd1
g656,drd2
g657,drd3
g658,drd4
g659,drd5
g660,dsg1
g661,dsp
g662,dstn
g663,dtymk
g664,dusp1
g665,dusp23
g666,dusp6
g667,dut
g668,e2f1
g669,ears2
g670,ebp
g671,echs1
g672,eci1
g673,eci2
g674,edn1
g675,edn3
g676,ednra
g677,ednrb
g678,eef1a1
g679,eef2
g680,efl1
g681,egf
g682,egfr
g683,egln1
g684,egln2
g685,egln3
g686,egr2
g687,ehhadh
g688,eif2ak2
g689,eif2b1
g690,eif2s1
g691,eif2s3
g692,eif4e
g693,eif4ebp1
g694,elane
